keyword,volume,kd,cpc,intent
trees bonsai,201000,31,0.7,informational
bonsai beach,201000,34,1.1,informational
bonsai a tree,201000,31,0.7,informational
tree for bonsai,201000,31,0.7,informational
software for crm,165000,30,44.0,commercial
crm-software,165000,30,44.0,commercial
jobber,135000,27,27.9,informational
login jobber,110000,33,18.6,navigational
jobber log in,110000,24,18.6,navigational
jobber login in,110000,33,18.6,navigational
caring for bonsai,74000,8,0.4,informational
care for bonsai tree,74000,6,0.4,informational
caring for bonsai tree,74000,6,0.4,informational
taking care bonsai tree,74000,3,0.4,informational
care of bonsai tree,74000,8,0.4,informational
bonsai tree how to care,74000,19,0.4,informational
bonsai tree caring,74000,6,0.4,informational
take care of bonsai tree,74000,8,0.4,informational
care for a bonsai,74000,8,0.4,informational
care of bonsai,74000,8,0.4,informational
bonsai tree care,74000,6,0.4,informational
caring for a bonsai,74000,8,0.4,informational
caring for bonsai plant,74000,7,0.4,informational
care bonsai,74000,8,0.4,informational
bonsai,74000,21,1.0,informational
care of bonsai plant,74000,3,0.4,informational
care for bonsai,74000,8,0.4,informational
care for a bonsai tree,74000,6,0.4,informational
care for bonsai plants,74000,12,0.4,informational
bonsai trees maintenance,74000,8,0.4,informational
taking care of bonsai tree,74000,8,0.4,informational
bonsai plant care,74000,3,0.4,informational
caring for a bonsai tree,74000,6,0.4,informational
bonsai tree upkeep,74000,6,0.4,informational
care of a bonsai tree,74000,6,0.4,informational
bonsai bamboo plant,33100,0,0.4,transactional
lego bonsai tree,27100,21,0.2,transactional
housecall pro login,27100,28,7.5,navigational
housecall pro log in,27100,28,7.5,navigational
bonsai buddy,22200,10,0,transactional
bonsai tree sale,22200,0,1.1,transactional
for sale bonsai tree,22200,0,1.1,transactional
for sale bonsai,22200,16,1.1,transactional
bonsai trees on sale,22200,0,1.1,transactional
cloud-based crm software,18100,24,15.9,commercial
cloud based crm software,18100,16,15.9,commercial
cloud crm software,18100,18,15.9,commercial
bonsai plants near me,18100,9,0.7,transactional
bonsai coffee & bar,18100,0,0,navigational
juniper bonsai plant,18100,0,0.6,transactional
bonsai tree near.me,18100,0,0.7,transactional
juniper bonsai,18100,0,0.6,informational
bonsai trees juniper,18100,0,0.6,informational
juniper species for bonsai,18100,0,0.6,informational
juniper as bonsai,18100,0,0.6,informational
juniper for bonsai,18100,0,0.6,informational
bonsai near.me,18100,10,0.7,navigational
juniper juniperus bonsai,18100,0,0.6,informational
bonsai trees near me,18100,0,0.7,transactional
bonsai near me,18100,0,0.7,commercial
dubsado,14800,18,2.2,informational
